form_type	cik	company_name	date_filed	file_name
1	28	28	28	28
1-A	547	547	547	547
1-A POS	86	86	86	86
1-A-W	41	41	41	41
1-A-W/A	11	11	11	11
1-A/A	1278	1278	1278	1278
1-E	132	132	132	132
1-E AD	2	2	2	2
1-E/A	71	71	71	71
1-K	13	13	13	13
1-K/A	1	1	1	1
1-SA	34	34	34	34
1-SA/A	3	3	3	3
1-U	80	80	80	80
1-U/A	1	1	1	1
1-Z	13	13	13	13
1-Z/A	2	2	2	2
1/A	511	511	511	511
10-12B	379	379	379	379
10-12B/A	1031	1031	1031	1031
10-12G	1570	1570	1570	1570
10-12G/A	2849	2849	2849	2849
10-D	48818	48818	48818	48818
10-D/A	2096	2096	2096	2096
10-K	120067	120067	120067	120067
10-K/A	25179	25179	25179	25179
10-KT	317	317	317	317
10-KT/A	82	82	82	82
10-Q	323461	323461	323461	323461
10-Q/A	25497	25497	25497	25497
10-QT	83	83	83	83
10-QT/A	14	14	14	14
10KSB	20103	20103	20103	20103
10KSB/A	7124	7124	7124	7124
10QSB	55456	55456	55456	55456
10QSB/A	9145	9145	9145	9145
10SB12B	41	41	41	41
10SB12B/A	12	12	12	12
10SB12G	980	980	980	980
10SB12G/A	1227	1227	1227	1227
11-K	25583	25583	25583	25583
11-K/A	633	633	633	633
11-KT	42	42	42	42
11-KT/A	2	2	2	2
12G3-2B	531	531	531	531
12G32BR	139	139	139	139
13F-HR	172996	172996	172996	172996
13F-HR/A	17721	17721	17721	17721
13F-NT	60983	60983	60983	60983
13F-NT/A	1316	1316	1316	1316
13FCONP	780	780	780	780
13FCONP/A	7	7	7	7
144	11643	11643	11643	11643
144/A	344	344	344	344
15-12B	3234	3234	3234	3234
15-12B/A	62	62	62	62
15-12G	7317	7317	7317	7317
15-12G/A	216	216	216	216
15-15D	14000	14000	14000	14000
15-15D/A	264	264	264	264
15F-12B	162	162	162	162
15F-12B/A	11	11	11	11
15F-12G	214	214	214	214
15F-12G/A	11	11	11	11
15F-15D	139	139	139	139
15F-15D/A	2	2	2	2
18-12B	4	4	4	4
18-K	534	534	534	534
18-K/A	1668	1668	1668	1668
19B-4	2	2	2	2
19B-4E	20803	20803	20803	20803
2-A	42	42	42	42
2-A/A	73	73	73	73
2-AF	32	32	32	32
2-E	83	83	83	83
2-E/A	11	11	11	11
20-F	11477	11477	11477	11477
20-F/A	2731	2731	2731	2731
20FR12B	69	69	69	69
20FR12B/A	81	81	81	81
20FR12G	240	240	240	240
20FR12G/A	390	390	390	390
24F-2NT	89526	89526	89526	89526
24F-2NT/A	1252	1252	1252	1252
25	3258	3258	3258	3258
25-NSE	14992	14992	14992	14992
25-NSE/A	384	384	384	384
25/A	33	33	33	33
253G1	1	1	1	1
253G2	112	112	112	112
253G3	1	1	1	1
3	516559	516559	516559	516559
3/A	32743	32743	32743	32743
305B2	2319	2319	2319	2319
305B2/A	55	55	55	55
34-12H	6	6	6	6
35-CERT	1151	1151	1151	1151
35-CERT/A	16	16	16	16
39-304D	8	8	8	8
39-304D/A	1	1	1	1
